rating,sentiment,comment_clean,sentiment_encoded
2,negatif,"bonjour bonsoir est ce que l administration la direction est au courant de la condition insalubre et l état détérioré et dégoutant des douches des vestiaires pour hommes? si non, c est très grave si oui, c est encore pire je suis pas un expert, mais un petit coup de maintenance ne peut pas être aussi compliqué. . démonter les séparations en bois ( heures worker) . un bon coup de nettoyage en kärcher en appliquant des produits de désinfection et nettoyant mir et par terre (allez heures max worker) . démonter les douches et les remplacer par des nouvelles ( heures max worker) . monter la nouvelle séparation. peut être pas en bois cette fois ci pour éviter les moisissures ? ;) ( heures max worker) en total, pour un seul vestiaire, ça coûtera heures par travailleur. en embauchant travailleurs cela nous mène à heures chaque, travailleurs vous coûtera heures chaque. quant au financement, je pense pas que c est la mer à boire pour un gym de cette renommée, surtout en voyant le prix des abos ;) vive le sport mais surtout vive la propreté et l hygiène! cordialement",0
1,negatif,un grand flop. on fait un abonnement annuel avec prélèvement bancaire automatique et on ne peut résilier le contrat qu avec une lettre recommandée. on est en comme même. c est pour ça califonia gym n est plus numéro,0
5,positif,très beau gym. personnel très gentil.,2
1,negatif,"la moitié des machines est défectueuse ! aucune maintenance, absence totale d entretien fuite de toiture",0
5,positif,grande salle de sport. la piscine est très propre et fait environ mètres.,2
3,neutre,"california gym est une bonne salle, notamment pour la diversité du matériel et la possibilité d accéder à plusieurs salles en même temps, ce qui est vraiment génial. cependant, j ai un problème avec les coachs. ils ne sont pas très disponibles ni chaleureux, et manquent parfois de professionnalisme. leur intervention semble être payante, ce qui peut être compréhensible, mais cela ne justifie pas leur attitude distante. en tant que client, j aurais aimé un accueil plus chaleureux et un engagement plus professionnel de leur part. bien que les coachs puissent apporter de l aide et des conseils, ils évitent souvent de regarder ou d interagir avec les clients, ce qui est dommage. à mon avis, c est le seul point négatif dans ces salles de sport.",1
1,negatif,"j ai le malheur de m inscrire dans cette( salle de sport )!! douche avec présence de moisissures, énormément d abonnés pour très peu de matériel climatisation qui vous fuit sur la tête hygiène douteuse dans l ensemble . pour dt je trouve ça vraiment irrespectueux a fuir absolument !!!",0
1,negatif,une pure arnaque... je m y étais inscrit pour me détendre et me remettre en forme. abonnement de mois à dinars. j y suis allé deux fois. pourquoi ? tous simplement qu à h on doit faire entre et minutes d attente entre les machines... tu parles d une détente. je déconseille vivement.,0
5,positif,"un grand bravo pour les clubs california gym et une mention spéciale pour california gym lac . l ambiance est magnifique, tous les employés sont très aimables sans exception. les coachs des plateaux ainsi que les coachs des cours sont très compétents . je viens de remercier le responsable malek pour son professionnalisme de gestion du club. sans oublier la femme de ménages fatouma qui est en train de faire un grand effort pour la propreté de la salle. bravo et bonne continuation.",2
3,neutre,une séance d essai à dt c est du vol. surtout pour que ce soit plein à h et qu il manque un rack à squat. je comprends pas comment une salle avec une telle superficie puisse avoir aussi peu de machines.,1
5,positif,je tiens à remercier le manager m. malek ainsi que les deux coachs nasreddine et surtout farid de la salle california gym lac pour leur excellent travail avec moi et mes collègues.,2
3,neutre,le materiel pour la cardio est top. celui de la musculation est trop vieux. les adhérents de cette salle en particulier n ont pas d esprit sportif chacun croit que le matériel lui appartient. si on veut faire notre séance dans la bonne humeur il faut éviter les cours collectifs et les heures de pointe. un autre bémol l ascenseur est souvent en panne.,1
4,positif,très bonne gestion des lieux juste plus d efforts pour les détails parce que les gens font attention aux détails. le personnel est bien choisi le matériel aussi il est au top il faut développer le coin vente des articles et pousser un peu la buvette les gens viennent à l heure de la pause de midi ca serait bien qu ils trouvent des choses à manger...bravo bonne continuation,2
5,positif,"franchement un endroit magnifique de détente et défoulement. personnel au petit soin, sympathique et à l écoute, coachs très qualifiés et surtout une hygiène remarquable. bravo",2
3,neutre,les coachs !!!! un sourire ne fait pas de mal !! je préfère de loin california la soukra poli aimable et le responsable est toujours a l écoute,1
4,positif,"très belle salle de sport comme j ai jamais vu très immense, matériel diversifié en très bonne état, très organisée elle abrite plusieurs salles : salle des cours pour body pump et body attack, une autre salle pour le crossfit ainsi qu une autre pour rpm sans oublier la piscine cependant le comportement de certaines des réceptionnistes est à revoir je tiens à saluer mlle.mayssa la coach du body attack, chapeau bas pour les deux magnifiques séances que j ai effectué avec vous je vous souhaite plein de succès",2
5,positif,"excellents coach, une équipe magnifique, sympathiques, grandes gentillesse, professionnels. une grande salle de musculation des differentes salles pour les cours rpm, trx..., salle cross training, piscine, et un club enfant, vestiaires ( hommes, femmes ) je parle de moi, si je fais un mauvais entraînement à un engin, tout de suite, je suis mise au courant par mon coach (med hammouda) je le remercie infiniment et toute l équipe aussi !!",2
3,neutre,une chaleur à mourir. on est en salle de sport. donc un lieu où l on est amené à avoir chaud. sauf erreur il ne devait pas y avoir de clim. le personnel est agréable et la salle plutôt propre. le matériel était bien. il y avait des particules blanches en suspension dans l eau de la piscine.,1
5,positif,ans à california gym propreté excellente partout vestiaires douches piscines salle des cours matériel propreté sans faille qualite elevee du matériel très vien entretenu coachs supers très professionnels accueil toujours parfait avec le sourire et la qsualite une gamme de sport très variées et un grand nombre de salle pour moi c un projet d excellence pour ma retraite nb une requête est très vite prise en compte et solutionner parfait,2
5,positif,je suis tjr fier d être a california gym lac qui nous présente la bonne image et la bonne accueil bravo bravo el bonne continuation,2
5,positif,"très bon endroit pour évacuer votre stress les coachs sont super très bonne ambiance, je recommande totalement",2
1,negatif,"excellent acceuil, mais les coachs s occupent uniquement par les femmes. personnellement, j ai payé un abonnement d une année (blue) depuis mois, j y étais uniquement fois... des réclamations sans suite....",0
5,positif,excellente salle et des coachs toujours au service des adhérents. excellent accueil à l entrée.,2
2,negatif,"petit et achalandé. le gérant est agréable. il est difficile pour moi qui est plutôt sauvage, d être à l aise dans un si petit gym... réflexion faites, on m a donné le mauvais horaire lors de l inscription (sans mentionner les coupures lors du ramadan et cela est incompatible à mon horaire). tout est sale, les utilisateurs ne nettoient pas leurs machines (yeark!), le yoga se donne sur un beat hip hop, dance. bref pas pour moi. j en ai parlé à une connaissance qui est cadre, cette dernière s est sauvé de la conversation. service client , déjà entendu parlé?",0
4,positif,"gros centre de fitness, bonne ambiance, piscine , juste à voir l entretien, des bancs de musculation ne sont plus stables ,les vestiaires commencent à avoir des signes de fatigue, sinon sympa usine de fitness",2
3,neutre,la salle de centre urbain est très bien équipée. le seul probleme est que les baffle de la piscine ne fonctionnent pas et c est dommage!,1
5,positif,"personnel très accueillant, coach wissem tres attentif et toujours à l écoute vous êtes les meilleurs",2
5,positif,merci pour votre service,2
1,negatif,"a degré et pas de climatiseur à la salle c est pas compatible avec une telle salle prestigieuse, et ça se répète kol youm",0
4,positif,une salle de sport très conviviale et les coach sont agréables ça fait maintenant ans que je la fréquente et je ne vais pas changer de sitôt,2
4,positif,"salle très propre, matériels professionnels et les personnelles sont très chaleureux.",2
5,positif,"d amélioration en amélioration. les coachs sont excellents, l ambiance est géniale. la propreté et la gestion des clubs y est remarquable !",2
2,negatif,"a eviter! parking payant, ascenseur dans la plupart des temps en panne (la salle est dans le eme etage), materiel de musculation yeser ne es (par contre barcha materiel fessiers!) je donne deux etoiles pour les cours",0
5,positif,"très bonne ambiance, des coachs incroyables et une équipe formidable !!!",2
5,positif,"bravo à toute l équipe du lac , très professionnel et trop gentil",2
5,positif,une salle tres proposer personnel top je la recommande vivement cette salle california les berges du lac,2
3,neutre,"c est une bonne salle de sport avec un excellent matériel.le seul probleme est que le staff n est pas très chaleureux,voir parfois désagréable.",1
2,negatif,"tout est top, sauf la sono dans la salle rpm qui est mauvaise : ( j espere que ça changera bientot parcequ on aime bien le rpm",0
5,positif,"très belle salle se sport, les prix sont relativement chers...",2
4,positif,tres bonne salle de sport.il y a tout se dont on a besoin salles dd cours vaporium spa ....,2
4,positif,bon emplacement et parking spacieux mais la salle est pas top,2
5,positif,service professionnel et très propre. les toilettes restent à désirer et manquent énormément d entretien.,2
3,neutre,"toujours plein à craquer, j ai essayé tous les horaires presque et toujours la même chose vestiaire limite limite point positif : parking sur étages",1
5,positif,bravo équipe california gym lac bon continuation,2
5,positif,top top top! mention spéciale pour la propreté de la salle ennasr bravo à toute l équipe,2
5,positif,bon service,2
4,positif,meilleur salle de sport avec toutes les disciplines même la natation. je recommande,2
5,positif,salle de sport fitness complète avec tout le matériel dont a besoin un sportif salles de cours piscine salle rpm petit snack vestiaires douches sauna vaporium ..,2
4,positif,"merci pour l accueil, c était très propre avec un agréable service.",2
2,negatif,"pas d espace pour bien s entraîner et il est trop petit, pas grand chose a dire!",0
5,positif,merci a la conseillere safa . tres gentil tres aimable,2
3,neutre,la salle est toujours pleine à craquer surtout le soir...,1
5,positif,"salle impec , matériel aussi , dommage par contre qu elle ferme à h ...",2
5,positif,"salle très propre, matériels professionnels et les personnelles sont très chaleureux.",2
5,positif,grand espace très agréable et lumineux surtout du côté des tapis,2
5,positif,"très bonne salle, matériel rénové c est top",2
5,positif,merci beaucoup l equipe acceuil cun,2
4,positif,la base. matos se dégrade petit à petit mais ça reste la meilleure option sur le marché,2
5,positif,"c était la première fois, les coaches sont super",2
5,positif,salle de sport très acceuillante et bien equipeé,2
1,negatif,matériels manquants trop cher mauvaise clientèle mauvaise gestion,0
4,positif,"horaires de fermetures très rigides, bon dans l ensemble",2
1,negatif,la plus pire des salle des sports en termes de musculation,0
4,positif,petite mais on s y habitue ..de bons cours et coachs,2
5,positif,la meilleur destination pour ceux qui veux pratiquer le sport,2
5,positif,l une des meilleures salle de gym en tunisie je conseille fortement,2
5,positif,c est la meilleure salle de sport en tunisie.,2
4,positif,"excellent centre de remise en forme , disponible dans plusieurs ville",2
4,positif,rempli a toute heure mais très qualitatif,2
4,positif,très belle expérience,2
5,positif,inchalla iji nhar w netrena fiha sallle très professionnel,2
5,positif,california gym expert fitness et remise en forme en tunisie,2
1,negatif,atroce. capitalisme dans toute sa puissance!!,0
5,positif,bravo equipe california gym lac,2
4,positif,le meilleur centre,2
4,positif,centre complet mais petite piscine,2
5,positif,très bien,2
5,positif,excellent place pour gym,2
5,positif,parfaite juste un peu encombré au heures de pointes,2
5,positif,meilleure salle de sport en tunisie,2
3,neutre,y at il une succursale à sousse,1
5,positif,meilleure gym en tunisie sans concurrence,2
4,positif,rien à réclamer tout est bon,2
5,positif,la meilleure salle de sport du pays,2
5,positif,du sport de la vie du confort du bien être,2
5,positif,tout à bien bonne continuation,2
5,positif,j y ai pas été,2
1,negatif,pas d eau chaude,0
5,positif,bravo à toutes l équipe,2
5,positif,parmi les meilleures salles en tunisie.,2
3,neutre,bonne salle de gym.,1
5,positif,bravo lac,2
5,positif,très bon service,2
4,positif,je metterai si seulement ...,2
5,positif,cours collectifs très intéressants,2
5,positif,parfait,2
5,positif,bien,2
5,positif,meilleur salle de sport en tunisie,2
4,positif,"propre, organisée et professionnelle",2
5,positif,équipe très professionnel,2
1,negatif,service personnel presque,0
5,positif,bonne salle de sport,2
4,positif,un des meilleurs salles,2
5,positif,excellente ambiance,2
2,negatif,a cause de son emplacement,0
5,positif,piscine pour enfants,2
5,positif,excellent cadre,2
4,positif,mouv mouv mouv. ...,2
5,positif,good ...bravo,2
5,positif,excellent,2
5,positif,bravo,2
4,positif,professionnel,2
3,neutre,faire d sport,1
4,positif,bien,2
3,neutre,bien,1
5,positif,un espace sain,2
5,positif,excellente,2
1,negatif,"ces photos ont été prises le juin en , je modifie mon avis, je suis extrêmement déçu par cg in cun, les douches sont toujours cassées, pas d eau même pour se laver les mains, le visage après l entraînement, certaines machines cassées depuis mois et toujours pas réparées, une seule fonctionne et vous devez attendre puis revenir pour découvrir que quelqu un d autre l utilise, les toilettes ne sont pas propres et certains nettoyeurs sont impolis et m ont confondu avec des filles sales qui ont fait des dégâts et l ont laissé !! de plus, la musique est tellement forte que mes oreilles ont presque explosé, j ai demandé s ils pouvaient baisser le volume et ils ont dit que la chaîne stéréo était cassée et que la musique devait rester jouée, une autre chose est que les gens qui utilisent des machines gardent les kilos allumés puis passent à une autre, après l avoir déchargé pour utiliser les kilos que je peux gérer, un gars est venu et est sorti en pensant que je travaillais là, même si je lui ai dit que je venais littéralement de décharger pour que je puisse l utiliser, il était très impoli et a commencé à l utiliser comme si je n étais pas debout en train de lui parler !! c est tellement triste de voir comment ça s est passé , plus jamais.",0
5,positif,"j aime ça. il contient presque tout ce dont vous avez besoin, à l exception de la zone crossfit. il peut être emballé ! des cours sont disponibles ainsi qu un pass journalier environ usd.",2
5,positif,"une expérience formidable pour une salle de fitness d excellente qualité et proposant une variété d activités. elle comprend de nombreuses salles de sport polyvalentes permettant de pratiquer de nombreuses activités. on y trouve également une piscine intérieure, une salle de musculation, une salle de cardio et bien d autres salles que je n ai pas eu le temps de visiter. une visite unique, rapide mais agréable. une équipe entièrement intégrée pour répondre aux demandes des clients et des salles de bains entièrement équipées avec sauna et hammam je le recommande vivement. si j étais résident, je reviendrais sans hésiter. on m a dit qu il y avait dix salles dans la capitale, tunis, et que l on pouvait entrer dans chacune d elles avec le même abonnement",2
2,negatif,"machines de gym techno, mais c est tellement vieux, sale et souvent en panne. il n y a pas de variété de machines. les douches ne sont pas propres. par rapport au prix, ça ne vaut vraiment pas le coup.",0
4,positif,c était un endroit agréable pour faire de l exercice là bas,2
2,negatif,"personnel adorable, entraîneurs compétents et cours de qualité. mais la gestion est très mauvaise, les prix sont exorbitants et l espace est très limité. le club est bondé et mal entretenu pour le prix. on peut reprocher à certains clients de ne pas nettoyer après leur passage, mais les vestiaires sont souvent en désordre et rarement nettoyés. d autres centres de loisirs sont certainement meilleurs, mais celui ci perd de plus en plus de clients.",0
1,negatif,"toujours bondé, le choix des machines est très limité, elles paraissent bon marché, vieilles et tombent en panne sans arrêt. la plupart sont inconfortables à utiliser. la section musculation est mal entretenue et la climatisation tombe souvent en panne. les gens rangent rarement leurs poids et, à certaines heures, on trouve tous les racks vides, signe d un manque flagrant de ressources. les coachs n aident pas et ne font pas respecter les bonnes pratiques en salle. si vous pratiquez la musculation, évitez cet endroit. très insatisfait de mon abonnement.",0
4,positif,"bonne salle de sport avec de nombreux appareils de cardio et de musculation. cependant, elle est très petite et, pour être honnête, elle dégage une odeur étrange. c est aussi un peu cher et il n y a pas de pass journaliers. des coachs sportifs sont présents en permanence, ce qui est appréciable, et on peut aussi consulter un nutritionniste (pour dinars).",2
1,negatif,"je suis vraiment déçu par leurs politiques vagues et leur façon de traiter les demandes et les réclamations de leurs clients. je ne pense pas qu ils soient fidèles à leurs valeurs et qu ils se soucient peu de leurs clients. seul l argent compte pour eux et ici, on vous facture plus cher pour des améliorations futures et puis les mois passent et rien ne change au contraire, la situation empire.",0
3,neutre,"la salle de sport n est pas mal. elle est assez petite et constamment bondée. beaucoup de gens traînent, discutent et gênent. les machines sont limitées, mais de bonne qualité. on y trouve les incontournables comme des haltères, des machines à câbles, un banc, des barres pour le soulevé de terre, mais pas de rack à squat ni de banc incliné ; il y a un smith press si ça vous intéresse. j aurais juste aimé qu elle soit plus dispersée, toutes les machines étant concentrées dans une seule pièce, on se cogne constamment contre les gens.",1
4,positif,"différentes localités en tunisie toutes utilisables avec la même carte de membre. la salle de sport du cun dispose également d une petite piscine et ils ont récemment remplacé tous les vélos de spinning (tecnogym), qui sont globalement beaux et bien entretenus, même si le sauna aurait besoin d être entièrement refait et que le vestiaire manque de ventilation et peut être très encombré sans espace pour se changer.",2
5,positif,cet endroit est très fréquenté,2
2,negatif,"service client défavorable septembre , lac , tunis, tunisie je séjourne temporairement dans la région de lac en tunisie, l une des plus chics du pays, le quartier des affaires en quelque sorte. je décide d aller m entraîner à la salle de sport du coin, california gym. un pass journée coûte dinars. pas de problème, je paie. cependant, j ai oublié une bouteille d eau et on ne boit pas l eau du robinet en tunisie. je me renseigne sur la possibilité d acheter une bouteille d eau, et oui, ils ont un distributeur. il faut une pièce d un dinar pour une bouteille, mais je n ai qu un billet de dinars. je demande de la monnaie à la réceptionniste. elle n en a pas. elle promet ensuite de se renseigner auprès du gérant dès qu il sera disponible. elle me demande de lui laisser les dinars et de rapporter la monnaie et la bouteille au début de mon cours. je commence mon cours. il fait très chaud. cours intense. pas de climatisation dans la salle, du moins pas au début. j attends patiemment ma bouteille d eau. quelques minutes plus tard, un monsieur me rend mes dinars. pas de monnaie. pas de bouteille d eau. je continue mon entraînement, bien décidé à tenir le coup. quelques minutes plus tard, ce même monsieur apporte une belle grande bouteille d eau fraîche au professeur de sport. qu est ce qui ne va pas avec cette photo ? que feriez vous ? en tant que client ? en tant que manager ?",0
3,neutre,bonnes machines mais il y a beaucoup de monde et les salles de bain ont besoin d un peu d entretien,1
5,positif,sans aucun doute le meilleur groupe de gym de tunis. des cours pour tous les goûts et à toute heure. p.s. : je n ai jamais essayé la salle de musculation.,2
5,positif,"d après mon expérience, la salle de sport california est très agréable ! ils sont très gentils et respectent beaucoup leurs clients !",2
1,negatif,"c est horrible, j ai l impression d avoir été volé. j ai essayé de résilier mon abonnement, j ai envoyé une lettre avec tous les détails, et ils continuent de débiter mon compte bancaire ! faites quelque chose !",0
4,positif,"c est un petit complexe sportif avec des salles de sport. ça a l air pas mal, mais je dois dire que je n y ai fait qu une petite visite.",2
5,positif,j y suis depuis soit ans au total j adore cette salle malgré la nébulosité de ces dernières années.,2
5,positif,"salle de sport très agréable, spacieuse et bien équipée. il y a aussi une piscine et un buffet.",2
2,negatif,vestiaires très petits. l eau de la piscine est trop chaude. le sauna n a pas de lumière. le hammam est froid.,0
4,positif,"c est magnifique et il y a tout le nécessaire, sauf le vestibule, qui n est pas très propre et étroit. vous ne serez pas à l aise pour vous changer.",2
2,negatif,"l ascenseur est toujours en panne ! et la piscine est sale. sinon, tout va bien.",0
5,positif,superbe salle de sport conforme aux normes allemandes ! réceptionniste sympathique ! merci !,2
4,positif,super endroit propre et dispose de bonnes machines mais un peu cher,2
4,positif,propre et les gens sont sympathiques. mais c est parfois surpeuplé et les prix sont un peu exagérés.,2
4,positif,"il y a du personnel serviable, du bon équipement mais c est incroyablement cher.",2
5,positif,"j ai aimé le quartier, il est grand et il y a tout ce qu il faut même de la nourriture.",2
5,positif,"bon endroit, personnel sympathique, haute qualité",2
5,positif,"l environnement et les installations sont plutôt bons, en particulier l atmosphère",2
5,positif,ali kzb,2
5,positif,"beaucoup d équipement, un endroit agréable pour s entraîner",2
5,positif,haut,2
4,positif,"il possède toutes les fonctionnalités dont vous avez besoin, à l exception d un sac de boxe",2
5,positif,super salle de sport,2
5,positif,un club très distingué,2
4,positif,"bien organisé, équipé et bonne assistance et conseils",2
5,positif,meilleure salle de sport,2
5,positif,l endroit idéal l équipe idéale,2
1,negatif,presque blessé.,0
5,positif,très bien étoiles,2
4,positif,super,2
5,positif,belle expérience,2
5,positif,excellent,2
5,positif,meilleure salle de sport,2
5,positif,pas mal,2
5,positif,la meilleure chaîne de salles de sport en tunisie,2
5,positif,l un des plus beaux clubs,2
4,positif,bonne chance pour le divertissement,2
3,neutre,petit et mal entretenu,1
4,positif,waouh c est bien,2
5,positif,salle de sport préférée dans la région,2
4,positif,propre et agréable.,2
4,positif,petit mais puissant,2
4,positif,cours de natation pour enfants,2
5,positif,super salle de sport !,2
5,positif,bien,2
1,negatif,,0
5,positif,cool,2
5,positif,alors,2
5,positif,aimer,2
5,positif,supplémentaire!!!,2
2,negatif,cher,0
5,positif,excellent,2
5,positif,des gens charmants,2
4,positif,incroyable,2
5,positif,haut,2
3,neutre,très fréquenté,1
5,positif,cool,2
5,positif,pour,2
5,positif,bravo,2
5,positif,j ai adoré,2
5,positif,le pays du fitness,2
3,neutre,salle de sport chère,1
5,positif,masterclass,2
2,negatif,"la qualité n est pas à la hauteur du prix, les machines sont un peu trop serrées, ce qui rend le tout peu pratique. je ne connais pas les autres salles de sport californiennes, mais celle ci est plutôt surfaite à mon avis.",0
1,negatif,"salle de sport vraiment trop chère et réceptionniste prétentieuse (une femme aux yeux verts) qui me bombardait d offres (acheter un cadenas chez nous, acheter une serviette ). on se croirait dans une vendeuse. les équipements sont tellement proches les uns des autres que parfois, si quelqu un utilise certaines machines, il faut attendre qu il ait fini pour utiliser la machine à côté dommage que ce soit la seule salle de sport du coin.",0
5,positif,personnel propre et agréable,2
3,neutre,"le spa hammam piscine jacuzzi étais plutôt sympa à part que le jacuzzi n en ai pas un l eau n est pas chauffé juste des bulles, sur les trois hammam il n y en avais qu un seul de fonctionnel les autre ne marchais pas ensuite aucune précision concernant le supplement mais une surprise à la fin où on nous demande de payer dt pour un massage sans que cela soit préciser par aucune affiche ou au téléphone et quand on demande pourquoi ça n a pas été préciser on nous dit que on n avais qu à demander. propreté des lieux excellent et mise à dispositions de peignoir top. accueil à revoir du moins",1
5,positif,en un mot : impeccable!! smart machines cardio dernière technologie !!! diversité d activités sportives pour tout les niveaux !! hygiène des lieux rien à dire ! au top du top ! déco raffinée! la piscine et le spa sont propres et offrent une intimité et un confort inégalable ! personnels acceuillants souriants et très polis !!! franchement très agréablement surprise par la gamme de produits des soins !! du haut de gamme!! un !! j espère que les responsables garderont ce level d excellence !!,2
5,positif,"cette salle est genialissime! le staff est au petit soin de la clientèles, l endroit est d une propreté irréprochable, un équipement d une haute qualité, un luxe qui mérite son prix! c est pas donné à tout le monde de s y inscrire mais pour tout ceux qui ont en les moyens, ça en vaut vraiment la peine!",2
5,positif,"the best gym in tunis. propre, personnel accueillant, conseil ! je recommande fortement",2
5,positif,excellente salle de sport. coatching de haut niveau. infrastructures et équipements de très haut standing.,2
5,positif,bien,2
5,positif,"une excellente salle de sport, avec un personnel incroyablement gentil et attentionné. confortable et intime, idéal pour ceux qui souhaitent simplement se détendre. le meilleur massage que j aie jamais testé à tunis !",2
5,positif,"expérience exceptionnelle à la salle de sport étoiles ! je me suis récemment inscrit à california gym platinum et c est tout simplement incroyable ! l établissement est haut de gamme, avec une large gamme d équipements de haute qualité, idéal pour atteindre tous vos objectifs fitness. même si vous ne trouverez pas toutes les machines disponibles dans d autres salles de sport, l expérience globale compense largement. le service est excellent, avec un personnel aimable et professionnel toujours prêt à vous aider. un atout majeur : le luxueux spa et jacuzzi, où vous pourrez vous détendre après une séance d entraînement. la salle de sport met à votre disposition des serviettes, des peignoirs et des bouteilles d eau à volonté, pour votre confort à tout moment. la piscine est fantastique, et la propreté et l hygiène de la salle sont irréprochables. c est un espace premium, ce qui se reflète dans le prix : il est un peu élevé, il peut donc ne pas convenir à tout le monde. cependant, si vous recherchez une expérience de sport haut de gamme, california gym platinum est l endroit idéal. des excellents entraîneurs aux cours dynamiques en passant par l espace spa relaxant, cette salle de sport a tout pour plaire. fortement recommandée pour ceux qui apprécient la qualité et sont prêts à investir dans leur parcours de remise en forme. en résumé, une expérience étoiles parfaite !",2
